Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev,year,month,day
B-Variable,18,3742.6030869,491434.487647,11.281783463,4.56559404869,65,20.8128820359707,0.32019818516878,0.319387644529343,0.00632447752200822,2019,10,16
B-Control,16,3509.87652099,510553.562694,11.7206970315,4.74321677856,64,20.9388470649719,0.327169485390186,0.32597216963768,0.0114106977689298,2019,10,16
UB-Even,24,3223.35355911,514404.408237,11.8091002809,4.77899244741,70,23.1483213603497,0.330690305147852,0.330721497535706,0.00573476914398645,2019,10,16
UB-Control,20,3412.58177941,499731.83655,11.4722643836,4.64267925073,62,20.1033203601837,0.324247102583608,0.323601692914963,0.00649341683798656,2019,10,16
B-Variable,22,2964.3261264,453367.110783,10.4078767397,4.2119351305,56,18.4032084345818,0.328628722046103,0.32673667371273,0.00888493275338912,2019,10,16
UB-Variable,21,3088.85955111,468369.04931,10.7522738593,4.35130825749,58,19.3657826781273,0.333892804795298,0.336365312337875,0.00759654984075479,2019,10,16
B-Even,23,3183.03031461,443218.40206,10.1748944458,4.11765016411,59,19.4125748276711,0.329026691994425,0.328169107437134,0.005100692664259,2019,10,16
B-Even,13,3150.56651384,561911.370882,12.8997100753,5.22034833792,67,22.6973341405392,0.338766181202077,0.337126612663269,0.00733178476880904,2019,10,16
B-Control,14,2912.50507204,477916.074104,10.9714433908,4.44000337491,64,21.3130189180374,0.333015920594335,0.331754252314568,0.00829666910357384,2019,10,16
UB-Even,9,3404.0060855,514957.975198,11.8218084297,4.78413527333,0,0,NA,NA,NA,2019,10,24
UB-Variable,10,2651.2030947,388149.557821,8.91068773693,3.60604181377,0,0,NA,NA,NA,2019,10,24
UB-Variable,8,2753.98254495,450548.637409,10.3431734942,4.1857505513,0,0,NA,NA,NA,2019,10,24
UB-Control,7,2491.50702099,392657.142759,9.01416764827,3.64791881566,0,0,NA,NA,NA,2019,10,24
UB-Control,12,2744.57965877,375284.051603,8.61533635453,3.4865168718,0,0,NA,NA,NA,2019,10,24
UB-Even,11,2665.86226499,389837.148948,8.94942949836,3.62172011109,0,0,NA,NA,NA,2019,10,24
B-Variable,2,2800.90096435,488749.526248,11.2201452307,4.54064984128,0,0,NA,NA,NA,2019,10,24
B-Even,1,2966.60299639,423537.986534,9.72309427306,3.93481238969,0,0,NA,NA,NA,2019,10,24
B-Control,3,2782.19010868,458793.163721,10.532441775,4.26234501345,0,0,NA,NA,NA,2019,10,24
UB-Even,4,2764.87621788,457395.812155,10.5003629971,4.24936314068,0,0,NA,NA,NA,2019,10,24
UB-Control,6,2777.1700766,444069.711323,10.1944378173,4.12555911761,0,0,NA,NA,NA,2019,10,24
UB-Variable,5,2731.45432459,483908.321871,11.1090064709,4.49567340098,0,0,NA,NA,NA,2019,10,24
B-Variable,15,3698.76877483,476636.486329,10.9420680976,4.42811556794,0,0,NA,NA,NA,2019,10,24
B-Even,17,3448.17244987,447617.681657,10.2758880086,4.15852097243,0,0,NA,NA,NA,2019,10,24
B-Control,19,3641.41059676,441134.064611,10.1270446421,4.09828595812,0,0,NA,NA,NA,2019,10,24
B-Variable,18,3742.6030869,491434.487647,11.281783463,4.56559404869,0,0,NA,NA,NA,2019,10,24
B-Control,16,3509.87652099,510553.562694,11.7206970315,4.74321677856,0,0,NA,NA,NA,2019,10,24
UB-Even,24,3223.35355911,514404.408237,11.8091002809,4.77899244741,0,0,NA,NA,NA,2019,10,24
UB-Control,20,3412.58177941,499731.83655,11.4722643836,4.64267925073,0,0,NA,NA,NA,2019,10,24
B-Variable,22,2964.3261264,453367.110783,10.4078767397,4.2119351305,0,0,NA,NA,NA,2019,10,24
UB-Variable,21,3088.85955111,468369.04931,10.7522738593,4.35130825749,0,0,NA,NA,NA,2019,10,24
B-Even,23,3183.03031461,443218.40206,10.1748944458,4.11765016411,0,0,NA,NA,NA,2019,10,24
B-Even,13,3150.56651384,561911.370882,12.8997100753,5.22034833792,0,0,NA,NA,NA,2019,10,24
B-Control,14,2912.50507204,477916.074104,10.9714433908,4.44000337491,0,0,NA,NA,NA,2019,10,24
