system:index,Acres,Area,Blocktype,Hectares,Perimeter,UnitNo,mean,median,stdDev,.geo
LE07_043033_20080708_00000000000000000007,9.72309427306,423537.986534,B-Even,3.93481238969,2966.60299639,1,-0.25710092787021543,-0.2581162498374583,0.013263972555757663,"{""type"":""Polygon"",""coordinates"":[[[-120.00727837755134,38.170700667694845],[-120.00685151321991,38.169920468791275],[-120.00694702864064,38.16883173214076],[-120.00665210361566,38.16828746859089],[-120.0064028632464,38.16884017237472],[-120.00605175634308,38.16925164034141],[-120.00538173142533,38.16970416178687],[-120.00484540923692,38.170075004368705],[-120.00449791436526,38.1705357852914],[-120.00463647143741,38.17061087892946],[-120.00617258449337,38.171419334050526],[-120.00727837755134,38.170700667694845]]]}"
LE07_043033_20080708_0000000000000000000d,10.2758880086,447617.681657,B-Even,4.15852097243,3448.17244987,17,-0.2542693854543902,-0.2547220030457997,0.013042469546351649,"{""type"":""Polygon"",""coordinates"":[[[-119.99335441042167,38.18101548817704],[-119.99221031112064,38.18045392118795],[-119.99104838465703,38.17991429673668],[-119.99092092760729,38.17984393937662],[-119.9878882083675,38.179882428938],[-119.98801311024751,38.18028812705025],[-119.98895542771899,38.18079533341731],[-119.98989235806596,38.18102063276281],[-119.99335441042167,38.18101548817704]]]}"
LE07_043033_20080708_00000000000000000015,10.1748944458,443218.40206,B-Even,4.11765016411,3183.03031461,23,-0.25587165838042486,-0.2552178994823844,0.01608994932806611,"{""type"":""Polygon"",""coordinates"":[[[-119.9865408308517,38.178206468848856],[-119.98635003582224,38.17774993289003],[-119.98608946742017,38.177336248418975],[-119.98617097228212,38.177007418720805],[-119.98651207489124,38.17684175487108],[-119.98715229050815,38.17697895923101],[-119.98714814472922,38.1768044271044],[-119.98670004702569,38.17668103375817],[-119.9858886159443,38.17643663129304],[-119.98550287795531,38.17644903004675],[-119.9847678292641,38.17655090735555],[-119.98412539715478,38.17632869134417],[-119.9838115455151,38.176383242579924],[-119.98366247014272,38.17670140631781],[-119.98377864309492,38.17704426401436],[-119.98413712908788,38.17769306605339],[-119.98425912349032,38.178170225468314],[-119.9865408308517,38.178206468848856]]]}"
LE07_043033_20080708_00000000000000000016,12.8997100753,561911.370882,B-Even,5.22034833792,3150.56651384,13,-0.27007933169104964,-0.2712321940279912,0.014201327041468354,"{""type"":""Polygon"",""coordinates"":[[[-119.9976270345641,38.17672422081898],[-119.99716794627093,38.17631440537615],[-119.99386916816603,38.17621203216905],[-119.99372583708491,38.17639169337491],[-119.99347083969172,38.176805619792354],[-119.99346334235535,38.17712735418934],[-119.99345055278066,38.17771296102899],[-119.99665972798475,38.17779063473101],[-119.99666158022423,38.17774595598679],[-119.99667260545877,38.17747790768268],[-119.9976270345641,38.17672422081898]]]}"
LE07_043033_20080708_00000000000000000000,11.8218084297,514957.975198,UB-Even,4.78413527333,3404.0060855,9,-0.2466753092038128,-0.24997827031725336,0.020977504288119637,"{""type"":""Polygon"",""coordinates"":[[[-120.00365898398685,38.179119044570264],[-120.00362617457719,38.17909129380804],[-120.00363984516552,38.17779023237681],[-120.00283901095584,38.17839139350181],[-120.00181520632059,38.17917919707862],[-120.00038761744342,38.17917405606382],[-120.00034492889998,38.18021501351495],[-120.00159956075036,38.18029181284249],[-120.00317045811136,38.18039454353231],[-120.00357704864517,38.1802886206295],[-120.00362502801165,38.1791181387304],[-120.00365898398685,38.179119044570264]]]}"
LE07_043033_20080708_00000000000000000005,8.94942949836,389837.148948,UB-Even,3.62172011109,2665.86226499,11,-0.258334615067455,-0.25843179377013964,0.012726027542417855,"{""type"":""Polygon"",""coordinates"":[[[-120.00295560847763,38.174440935957065],[-120.00224605544052,38.173644602550155],[-120.00137588874527,38.173036514368654],[-120.00099522213402,38.173478513571304],[-120.0005529031232,38.17431687945471],[-120.00118670215946,38.1747490175234],[-120.00128460294313,38.17567726502017],[-120.00131291477817,38.17567799267309],[-120.00180232933504,38.176039372814806],[-120.00295560847763,38.174440935957065]]]}"
LE07_043033_20080708_00000000000000000009,10.5003629971,457395.812155,UB-Even,4.24936314068,2764.87621788,4,-0.26749950510023823,-0.26697466940561426,0.010879258588429969,"{""type"":""Polygon"",""coordinates"":[[[-120.0061507119603,38.17333735375138],[-120.00612901581509,38.17525093687403],[-120.00678422022837,38.17529897430647],[-120.0082714492822,38.17564547694975],[-120.00828397287567,38.173400706373094],[-120.00677293123046,38.17336217934348],[-120.0061507119603,38.17333735375138]]]}"
LE07_043033_20080708_00000000000000000011,11.8091002809,514404.408237,UB-Even,4.77899244741,3223.35355911,24,-0.2546496145884499,-0.2579592075554447,0.015228762896009423,"{""type"":""Polygon"",""coordinates"":[[[-119.98410299180601,38.178108109911065],[-119.98401081228099,38.177734504261046],[-119.98376302987931,38.177285402999786],[-119.98245565928545,38.177251790613404],[-119.98210087373127,38.17829807490711],[-119.98198540503554,38.17848740232685],[-119.98146654449026,38.179252231910596],[-119.98068763247115,38.17986730283335],[-119.98082242073686,38.18017039937336],[-119.98100687226338,38.18009459246872],[-119.98130793966426,38.180075521709156],[-119.98188996024888,38.18011289560236],[-119.98237556357248,38.17987940376407],[-119.98320095292293,38.17937290369163],[-119.98357126063298,38.17877419526311],[-119.98410299180601,38.178108109911065]]]}"
LE07_043033_20080708_00000000000000000008,10.532441775,458793.163721,B-Control,4.26234501345,2782.19010868,3,-0.2672238068424532,-0.26751033705049493,0.01228338262709582,"{""type"":""Polygon"",""coordinates"":[[[-120.00449791436526,38.1705357852914],[-120.00374365339441,38.171800069624204],[-120.0035755492897,38.171894111860084],[-120.00393186624214,38.172323633089924],[-120.00478984539599,38.1728151230007],[-120.00616738094753,38.17334671063968],[-120.00617258449337,38.171419334050526],[-120.00449791436526,38.1705357852914]]]}"
LE07_043033_20080708_0000000000000000000e,10.1270446421,441134.064611,B-Control,4.09828595812,3641.41059676,19,-0.24894999763809295,-0.24988428120852457,0.008454313790787458,"{""type"":""Polygon"",""coordinates"":[[[-119.9878882083675,38.179882428938],[-119.99092075119607,38.17984847092827],[-119.99061670610989,38.179527553124316],[-119.99032315685704,38.17936350191103],[-119.98995807172915,38.179287034655744],[-119.98963673602387,38.17924752750733],[-119.98939178650011,38.17914280629184],[-119.9892652981682,38.1789114751039],[-119.9888259399434,38.17871239658384],[-119.9886624041157,38.17855611171922],[-119.98757171919085,38.17834926829722],[-119.98730109742569,38.178042683243106],[-119.9868361524491,38.177364389262074],[-119.98626385601003,38.177228937040084],[-119.98628440862116,38.17741723947754],[-119.98662868644779,38.177998575514884],[-119.9867388586963,38.17848888206425],[-119.987133678606,38.179080426960404],[-119.98746040091599,38.17926318908086],[-119.9877121459177,38.17947983048908],[-119.9878882083675,38.179882428938]]]}"
